TIME,LONGITUDE,LATITUDE,RAINFALL,time,lon,lat,rf
1978-03-23,79.5,12.0,0.0,,,,
1978-03-24,79.5,12.0,0.0,,,,
1978-03-25,79.5,12.0,0.0,,,,
1978-03-26,79.5,12.0,0.0,,,,
1978-03-27,79.5,12.0,0.0,,,,
1978-03-28,79.5,12.0,0.0,,,,
1978-03-29,79.5,12.0,0.0,,,,
1978-03-30,79.5,12.0,0.0,,,,
1978-03-31,79.5,12.0,0.0,,,,
1978-04-01,79.5,12.0,0.0,,,,
1978-04-02,79.5,12.0,0.0,,,,
1978-04-03,79.5,12.0,0.0,,,,
1978-04-04,79.5,12.0,0.0,,,,
1978-04-05,79.5,12.0,0.0,,,,
1978-04-06,79.5,12.0,0.0,,,,
1978-04-07,79.5,12.0,0.0,,,,
1978-04-08,79.5,12.0,0.0,,,,
1978-04-09,79.5,12.0,0.0,,,,
1978-04-10,79.5,12.0,0.0,,,,
1978-04-11,79.5,12.0,0.0,,,,
1978-04-12,79.5,12.0,0.0,,,,
1978-04-13,79.5,12.0,0.0,,,,
1978-04-14,79.5,12.0,0.0,,,,
1978-04-15,79.5,12.0,0.0,,,,
1978-04-16,79.5,12.0,0.0,,,,
1978-04-17,79.5,12.0,0.0,,,,
1978-04-18,79.5,12.0,0.0,,,,
1978-04-19,79.5,12.0,0.0,,,,
1978-04-20,79.5,12.0,0.0,,,,
1978-04-21,79.5,12.0,0.0,,,,
1978-04-22,79.5,12.0,0.0,,,,
1978-04-23,79.5,12.0,0.0,,,,
1978-04-24,79.5,12.0,0.0,,,,
1978-04-25,79.5,12.0,2.6344034671783447,,,,
1978-04-26,79.5,12.0,0.0,,,,
1978-04-27,79.5,12.0,0.0,,,,
1978-04-28,79.5,12.0,0.5407946705818176,,,,
1978-04-29,79.5,12.0,0.0,,,,
1978-04-30,79.5,12.0,0.0,,,,
1978-05-01,79.5,12.0,0.0,,,,
1978-05-02,79.5,12.0,0.0,,,,
1978-05-03,79.5,12.0,0.0,,,,
1978-05-04,79.5,12.0,0.0,,,,
1978-05-05,79.5,12.0,0.11691898107528687,,,,
1978-05-06,79.5,12.0,0.0,,,,
1978-05-07,79.5,12.0,0.0,,,,
1978-05-08,79.5,12.0,0.0,,,,
1978-05-09,79.5,12.0,0.0,,,,
1978-05-10,79.5,12.0,0.0,,,,
1978-05-11,79.5,12.0,0.0,,,,
1978-05-12,79.5,12.0,0.0,,,,
1978-05-13,79.5,12.0,0.0,,,,
1978-05-14,79.5,12.0,0.0,,,,
1978-05-15,79.5,12.0,0.0,,,,
1978-05-16,79.5,12.0,0.0,,,,
1978-05-17,79.5,12.0,0.0,,,,
1978-05-18,79.5,12.0,0.0,,,,
1978-05-19,79.5,12.0,0.0,,,,
1978-05-20,79.5,12.0,0.0,,,,
1978-05-21,79.5,12.0,0.0,,,,
1978-05-22,79.5,12.0,0.0,,,,
1978-05-23,79.5,12.0,0.0,,,,
1978-05-24,79.5,12.0,0.8885842561721802,,,,
1978-05-25,79.5,12.0,0.0,,,,
1978-05-26,79.5,12.0,0.9773990511894226,,,,
1978-05-27,79.5,12.0,0.0,,,,
1978-05-28,79.5,12.0,1.677868366241455,,,,
1978-05-29,79.5,12.0,1.7267383337020874,,,,
1978-05-30,79.5,12.0,0.9542730450630188,,,,
1978-05-31,79.5,12.0,0.0,,,,
1978-06-01,79.5,12.0,6.217048645019531,,,,
1978-06-02,79.5,12.0,0.0,,,,
1978-06-03,79.5,12.0,0.0,,,,
1978-06-04,79.5,12.0,0.0,,,,
1978-06-05,79.5,12.0,0.0,,,,
1978-06-06,79.5,12.0,0.7004693746566772,,,,
1978-06-07,79.5,12.0,3.6593730449676514,,,,
1978-06-08,79.5,12.0,0.0,,,,
1978-06-09,79.5,12.0,0.0,,,,
1978-06-10,79.5,12.0,0.439829558134079,,,,
1978-06-11,79.5,12.0,2.6924855709075928,,,,
1978-06-12,79.5,12.0,2.7631661891937256,,,,
1978-06-13,79.5,12.0,0.0,,,,
1978-06-14,79.5,12.0,0.0,,,,
1978-06-15,79.5,12.0,0.0,,,,
1978-06-16,79.5,12.0,0.0,,,,
1978-06-17,79.5,12.0,0.0,,,,
1978-06-18,79.5,12.0,0.0,,,,
1978-06-19,79.5,12.0,0.6515993475914001,,,,
1978-06-20,79.5,12.0,1.3840649127960205,,,,
1978-06-21,79.5,12.0,0.0,,,,
1978-06-22,79.5,12.0,0.0,,,,
1978-06-23,79.5,12.0,0.0,,,,
1978-06-24,79.5,12.0,0.0,,,,
1978-06-25,79.5,12.0,3.7145774364471436,,,,
1978-06-26,79.5,12.0,0.0,,,,
1978-06-27,79.5,12.0,2.361464023590088,,,,
1978-06-28,79.5,12.0,2.768129825592041,,,,
1978-06-29,79.5,12.0,1.270089864730835,,,,
1978-06-30,79.5,12.0,0.0,,,,
1978-07-01,79.5,12.0,0.35837966203689575,,,,
1978-07-02,79.5,12.0,0.0,,,,
1978-07-03,79.5,12.0,0.0,,,,
1978-07-04,79.5,12.0,3.486747980117798,,,,
1978-07-05,79.5,12.0,2.16963267326355,,,,
1978-07-06,79.5,12.0,0.6515993475914001,,,,
1978-07-07,79.5,12.0,0.11691898107528687,,,,
1978-07-08,79.5,12.0,0.4469233453273773,,,,
1978-07-09,79.5,12.0,0.3273731470108032,,,,
1978-07-10,79.5,12.0,0.0,,,,
1978-07-11,79.5,12.0,0.0,,,,
